ad_set,day,impressions,reach,spend,clicks,funnel,cta,brand,CTR,CPC,month,quarter,week,day_of_week,is_weekend,holiday
""" 0629/ibox-ads/meta-session/conversion/promo-ramadan/mar25/pdp""",2025-03-08,1119,1052,10023,27,session,pdp,ibox,0.024128686327077747,371.22222222222223,3,1,10,5,1,0
""" 0629/ibox-ads/meta-session/conversion/promo-ramadan/mar25/pdp""",2025-03-09,3283,2731,30201,72,session,pdp,ibox,0.02193116052391106,419.4583333333333,3,1,10,6,1,0
0092/erafone-ads/meta-conversions/image/conversion/generic campaign katalog/jan25/multibrand/core/homepage,2025-01-25,421779,307940,2648104,3953,conversion,homepage,erafone,0.009372206771792811,669.8972931950417,1,1,4,5,1,0
0092/erafone-ads/meta-conversions/image/conversion/generic campaign katalog/jan25/multibrand/core/homepage,2025-01-26,600447,382888,4123204,4301,conversion,homepage,erafone,0.0071629969006423546,958.6617065798652,1,1,4,6,1,0
0092/erafone-ads/meta-conversions/image/conversion/generic campaign katalog/jan25/multibrand/core/homepage,2025-01-27,1516347,1108866,4148657,6292,conversion,homepage,erafone,0.0041494460041138345,659.3542593769866,1,1,5,0,0,1
0092/erafone-ads/meta-conversions/image/conversion/generic campaign katalog/jan25/multibrand/core/homepage,2025-01-28,1695341,1185173,4791812,6558,conversion,homepage,erafone,0.0038682483347008065,730.6819152180543,1,1,5,1,0,0
0092/erafone-ads/meta-conversions/image/conversion/generic campaign katalog/jan25/multibrand/core/homepage,2025-01-29,1666454,1165471,4862908,6048,conversion,homepage,erafone,0.0036292630939707905,804.0522486772487,1,1,5,2,0,1
0092/erafone-ads/meta-conversions/image/conversion/generic campaign katalog/jan25/multibrand/core/homepage,2025-01-30,1461753,993676,4551316,5061,conversion,homepage,erafone,0.003462281247242181,899.2918395573997,1,1,5,3,0,0
0092/erafone-ads/meta-conversions/image/conversion/generic campaign katalog/jan25/multibrand/core/homepage,2025-01-31,1406590,981882,4056878,4886,conversion,homepage,erafone,0.003473649037743763,830.3065902578796,1,1,5,4,0,0
0092/erafone-ads/meta-sessions/image/conversions//jan25/multibrand/core/pdp,2025-01-24,179226,145223,1395110,2926,session,pdp,erafone,0.016325756307678574,476.7976760082023,1,1,4,4,0,0
0092/erafone-ads/meta-sessions/image/conversions//jan25/multibrand/core/pdp,2025-01-25,250941,191874,1713420,2750,session,pdp,erafone,0.010958751260256396,623.0618181818181,1,1,4,5,1,0
0092/erafone-ads/meta-sessions/image/conversions//jan25/multibrand/core/pdp,2025-01-26,282133,217658,1734223,2617,session,pdp,erafone,0.009275767102749412,662.6759648452427,1,1,4,6,1,0
0092/erafone-ads/meta-sessions/image/conversions//jan25/multibrand/core/pdp,2025-01-27,314197,254273,1722833,2642,session,pdp,erafone,0.008408737193544178,652.0942467827404,1,1,5,0,0,1
